step,timestamp,action,price,shares,reward,transaction_cost,slippage,time_penalty
2,2023-07-03 08:00:15.804687301,1,194.21,201.0,-0.09678801803554471,0.08031621803554471,0.0,0.0164718
3,2023-07-03 08:00:19.671312224,2,194.14,188.0,-0.11675671803555494,0.08031621803554471,0.020000000000010232,0.0164405
5,2023-07-03 08:00:29.849775570,1,194.13,124.0,-0.27044528204301577,0.25398218204301576,0.0,0.0164631
18,2023-07-03 08:00:57.325590403,2,194.1,137.0,-0.06725763640860315,0.05079643640860315,0.0,0.0164612
25,2023-07-03 08:01:02.739065129,1,194.12,130.0,-0.23636002175785553,0.21995502175785553,0.0,0.016405
29,2023-07-03 08:01:11.609390022,1,194.18,122.0,-0.04192481820430158,0.025398218204301576,0.0,0.0165266
32,2023-07-03 08:01:12.250045693,2,194.26,112.0,-0.09270255461290472,0.07619465461290473,0.0,0.0165079
33,2023-07-03 08:01:12.250045693,1,194.26,101.0,-0.19610042322317262,0.17959252322317262,0.0,0.0165079
41,2023-07-03 08:01:14.185830444,2,194.28,118.0,-0.10703811803553562,0.08031621803554471,0.009999999999990905,0.0167219
46,2023-07-03 08:01:28.208889457,1,194.18,216.0,-0.14047960435155518,0.04399100435157111,0.07999999999998408,0.0164886
49,2023-07-03 08:01:54.802043714,1,194.25,130.0,-0.14594781023422126,0.12950601023422126,0.0,0.0164418
199,2023-07-03 08:08:05.494156630,2,194.07,216.0,-0.19807737281721882,0.1015928728172063,0.0800000000000125,0.0164845
27839,2023-07-03 14:32:22.145061832,1,192.67,192.0,-0.2806634820430351,0.25398218204301576,0.010000000000019327,0.0166813
27857,2023-07-03 14:32:26.783441271,1,192.69,204.0,-0.22210561576340104,0.19508741576341013,0.009999999999990905,0.0170182
27858,2023-07-03 14:32:27.834654423,1,192.7,108.0,-0.27096728204301573,0.25398218204301576,0.0,0.0169851
27859,2023-07-03 14:32:27.834654423,1,192.7,123.0,-0.27096728204301573,0.25398218204301576,0.0,0.0169851
27860,2023-07-03 14:32:27.834654423,1,192.7,97.0,-0.14397619102150788,0.12699109102150788,0.0,0.0169851
27862,2023-07-03 14:32:27.834654423,2,192.7,106.0,-0.2940469506154259,0.27706185061542593,0.0,0.0169851
27865,2023-07-03 14:32:27.835415235,1,192.71,100.0,-0.3410905430593754,0.3242627430593754,0.0,0.0168278
27867,2023-07-03 14:32:27.835965786,1,192.71,66.0,-0.2704455820430158,0.25398218204301576,0.0,0.0164634
27869,2023-07-03 14:32:28.119375931,1,192.71,203.0,-0.13572970293689043,0.11912820293689044,0.0,0.0166015
27870,2023-07-03 14:32:28.119375931,1,192.71,218.0,-0.14359259102150787,0.12699109102150788,0.0,0.0166015
27875,2023-07-03 14:32:28.333188438,2,192.7,137.0,-0.19533922025450415,0.16847272025448481,0.010000000000019327,0.0168665
27876,2023-07-03 14:32:28.333188438,2,192.705,166.0,-0.24903506964875932,0.22716856964876386,0.0049999999999954525,0.0168665
27878,2023-07-03 14:32:28.333194790,2,192.7,157.0,-0.2807384820430351,0.25398218204301576,0.010000000000019327,0.0167563
27880,2023-07-03 14:32:28.333831864,2,192.7,126.0,-0.2150234274216862,0.18835822742166689,0.010000000000019327,0.0166652
27881,2023-07-03 14:32:28.333831864,2,192.7,238.0,-0.2806473820430351,0.25398218204301576,0.010000000000019327,0.0166652
27883,2023-07-03 14:32:28.336733056,1,192.7,129.0,-0.2804313820430351,0.25398218204301576,0.010000000000019327,0.0164492
27884,2023-07-03 14:32:28.373975984,2,192.7,197.0,-0.20450522743013036,0.17778752743011103,0.010000000000019327,0.0167177
27972,2023-07-03 14:32:45.544208711,1,192.63,74.0,-0.18321785450151556,0.16654725450151556,0.0,0.0166706
27973,2023-07-03 14:32:45.544208711,1,192.63,121.0,-0.26810013251244164,0.25142953251244166,0.0,0.0166706
27974,2023-07-03 14:32:47.369153463,1,192.63,132.0,-0.220012767137174,0.19342706713718308,0.009999999999990905,0.0165857
27977,2023-07-03 14:32:47.976850165,1,192.63,73.0,-0.2807078820430067,0.25398218204301576,0.009999999999990905,0.0167257
27978,2023-07-03 14:32:47.976850165,1,192.63,228.0,-0.1537167910214988,0.12699109102150788,0.009999999999990905,0.0167257
27996,2023-07-03 14:32:48.355362428,2,192.61,232.0,-0.28065678204300665,0.25398218204301576,0.009999999999990905,0.0166746
27997,2023-07-03 14:32:48.355362428,1,192.61,58.0,-0.28065678204300665,0.25398218204301576,0.009999999999990905,0.0166746
27999,2023-07-03 14:32:48.392825230,2,192.6,218.0,-0.1493563755001838,0.12180557550016448,0.010000000000019327,0.0175508
28004,2023-07-03 14:32:48.392858557,2,192.6,198.0,-0.15888751305473264,0.13197301305471332,0.010000000000019327,0.0169145
28007,2023-07-03 14:32:48.392871054,2,192.6,241.0,-0.14019608482440127,0.11358428482438193,0.010000000000019327,0.0166118
28009,2023-07-03 14:32:48.392941418,1,192.6,77.0,-0.2803792820430351,0.25398218204301576,0.010000000000019327,0.0163971
28010,2023-07-03 14:32:48.393052396,2,192.6,157.0,-0.14240388482440125,0.11358428482438193,0.010000000000019327,0.0188196
28014,2023-07-03 14:32:48.393052396,2,192.6,240.0,-0.10859471803556404,0.08031621803554471,0.010000000000019327,0.0182785
28026,2023-07-03 14:32:48.393052396,1,192.6,60.0,-0.0527281182043209,0.025398218204301576,0.010000000000019327,0.0173299
28029,2023-07-03 14:32:48.393052396,2,192.6,103.0,-0.08362554241221029,0.056792142412190966,0.010000000000019327,0.0168334
28030,2023-07-03 14:32:48.393052396,1,192.6,244.0,-0.34201699910506583,0.3151835991050465,0.010000000000019327,0.0168334
28033,2023-07-03 14:32:48.394092765,2,192.59,236.0,-0.05230971820429248,0.025398218204301576,0.009999999999990905,0.0169115
28034,2023-07-03 14:32:48.394092765,2,192.59,8.0,-0.2806407820430067,0.25398218204301576,0.009999999999990905,0.0166586
28040,2023-07-03 14:32:48.396208486,1,192.59,72.0,-0.28047358204300665,0.25398218204301576,0.009999999999990905,0.0164914
28045,2023-07-03 14:32:48.634187001,1,192.59,166.0,-0.28081968204300667,0.25398218204301576,0.009999999999990905,0.0168375
28047,2023-07-03 14:32:48.634187001,2,192.59,228.0,-0.38602254644633616,0.35918504644634525,0.009999999999990905,0.0168375
